Country,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Birthrate,Deathrate,Agriculture,Industry,Service,Life expectancy,CPI Score,unemployment_percentage,Region,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Mali,11716829,1240000,9.5,0.0,-0.33,116.79,900.0,46.4,6.4,3.82,0.03,96.15,49.82,16.89,0.45,0.17,0.38,54.9375,30.758700999999995,8.1,Africa,134,4.219000011444092,0.36096809876632696,1.1036126796417245,0.19973313485145566,0.3329247486610412,0.1470688397865296,0.1223180493106842
Malta,400214,316,1266.5,62.28,2.07,3.89,17700.0,92.8,505.0,28.13,3.13,68.74,10.22,8.1,0.03,0.23,0.74,80.36250000000003,55.892464000000004,4.4,Europe,28,6.5339999900817896,1.285699967712402,1.386846332992554,0.8790608473510743,0.5902714103393554,0.3274261150169372,0.3051912137775422
Mauritania,3177388,1030700,3.1,0.07,0.0,70.89,1800.0,41.7,12.9,0.48,0.01,99.51,40.99,12.16,0.25,0.29,0.46,62.8,27.927348,11.7,Africa,127,4.354999963378907,0.5686874577484129,1.07890616607666,0.3422958559284209,0.13204360860490802,0.1592060048408508,0.1527634009332656
Mauritius,1240827,2040,608.3,8.68,-0.9,15.03,11400.0,85.6,289.3,49.26,2.96,47.78,15.43,6.86,0.059000000000000004,0.298,0.643,72.7125,52.767148,6.9,Africa,62,5.7066000373840335,1.1101451093826298,1.148144198066712,0.6982794924049378,0.519071465227127,0.1896347501735688,0.17982631103634836
Mexico,107449525,1972550,54.5,0.47,-4.87,20.91,9000.0,92.2,181.6,12.99,1.31,85.7,20.69,4.74,0.038,0.259,0.7020000000000001,75.71874999999999,31.070854999999998,3.6,America,22,6.725200013732912,1.079360763572692,1.0829944319458,0.7715697995414732,0.4367260016727448,0.13213208655977246,0.111772822921753
Moldova,4466706,33843,132.0,0.0,-0.26,40.42,1800.0,99.1,208.1,55.3,10.79,33.91,15.7,12.64,0.213,0.233,0.555,69.98124999999999,32.278946000000005,4.3,Europe,59,5.758599964141847,0.6714241260528564,1.145485114212036,0.6179630401802063,0.2595858097696304,0.1191918252811432,0.08391425723052022
Mongolia,2832224,1564116,1.8,0.0,0.0,53.79,1800.0,97.8,55.1,0.77,0.0,99.23,21.59,6.95,0.20600000000000002,0.214,0.58,65.8875,35.196346666666656,8.0,Asia,100,5.02919998474121,0.941191173118592,1.3862882472381597,0.5914306968917845,0.3804247937641144,0.1771948460597992,0.15611845783638956
Morocco,33241259,446550,74.4,0.41,-0.98,41.62,4000.0,51.7,40.4,19.61,2.17,78.22,21.98,5.58,0.217,0.35700000000000004,0.426,72.15624999999999,37.843408000000004,9.3,Africa,90,5.172200026702879,0.8066969162216185,0.6761528870391846,0.650592133808136,0.3919056664218902,0.0527419910311699,0.07000263656377792
Mozambique,19686505,801590,24.6,0.31,0.0,130.79,1200.0,47.8,3.5,5.1,0.3,94.6,35.18,21.35,0.262,0.348,0.39,53.39375,27.787721999999995,22.4,Africa,110,4.601000047683716,0.17984641249895103,0.9462402537488936,0.1902411088490485,0.4615402729797362,0.2203145259690285,0.17453159640789026
Nepal,28287147,147181,192.2,0.0,0.0,66.98,1400.0,45.2,15.9,21.68,0.64,77.68,30.98,9.31,0.38,0.21,0.41,66.48125,28.311226999999995,3.3,Asia,101,4.812399978637695,0.43141003837203984,1.038952652259826,0.5579201561393738,0.4316491896514892,0.2220492331790924,0.18890710922431947
Netherlands,16491461,41526,397.1,1.09,2.91,5.04,28600.0,99.0,460.8,26.71,0.97,72.32,10.9,8.68,0.021,0.244,0.736,81.13125,83.994497,5.1,Europe,6,7.4045999710083,1.411012927078248,1.349645844657898,0.8785692250061036,0.5896508976211547,0.3485799659557342,0.3651843650836945
New Zealand,4076140,268680,15.2,5.63,4.05,5.85,21600.0,99.0,441.7,5.6,6.99,87.41,13.76,7.53,0.043,0.273,0.684,81.33749999999998,90.36268100000001,4.9,Oceania,9,7.313000025939942,1.3175092096023555,1.439729024734498,0.8916179411087036,0.6177824260902404,0.40865302519989016,0.4241673404254914
Nicaragua,5570129,129494,43.0,0.7,-1.22,29.11,2300.0,67.5,39.7,15.94,1.94,82.12,24.51,4.45,0.165,0.275,0.56,73.45,26.129546,6.5,America,46,6.027400019836426,0.6772778407745361,1.1936531419372558,0.716673192123413,0.4860243693008422,0.21315284339714055,0.1923135963687896
Niger,12525094,1267000,9.9,0.0,-0.67,121.69,800.0,17.6,1.9,3.54,0.01,96.45,50.73,20.91,0.39,0.17,0.44,56.98125,32.140459,2.6,Africa,136,4.104599975585939,0.12660506615161898,0.8023950009727479,0.28283900140571605,0.38579773928260797,0.1839647691059112,0.1486285892381668
Nigeria,131859731,923768,142.7,0.09,0.26,98.8,900.0,68.0,9.3,31.29,2.96,65.75,40.43,16.94,0.26899999999999996,0.48700000000000004,0.244,51.35625000000001,26.149336,13.4,Africa,95,5.127399976348877,0.7150532512207033,1.009614096603394,0.11221314604759217,0.38096651308631896,0.14354943929672245,0.1207283132144213
Norway,4610820,323802,14.2,7.77,1.74,3.7,37800.0,100.0,461.7,2.87,0.0,97.13,11.46,9.4,0.021,0.415,0.564,81.79375,85.889854,4.0,Europe,2,7.5410000358581515,1.5193806368713383,1.4310747119140619,0.8733333005905152,0.6380485174789428,0.32836044746208204,0.344580766904831
Oman,3102229,212460,14.6,0.98,0.28,19.51,13100.0,75.8,85.5,0.0,0.14,99.74,36.24,3.81,0.027000000000000003,0.39,0.583,74.84375,47.834576,15.0,Africa,20,6.853,1.36011,1.08182,0.76276,0.63274,0.32524000000000003,0.21541999999999997
Pakistan,165803560,803940,206.2,0.13,-2.77,72.44,2100.0,45.7,31.8,27.87,0.87,71.26,29.74,8.23,0.21600000000000005,0.251,0.5329999999999999,64.5,29.067952,6.0,Asia,78,5.344000010681151,0.667894706123352,0.6088301379127502,0.4557535566272736,0.22989105231571202,0.19897720383453366,0.1967816133494378
Panama,3191319,78200,40.8,3.18,-0.91,20.47,6300.0,92.6,137.9,7.36,1.98,90.66,21.74,5.36,0.068,0.156,0.7759999999999999,76.4875,36.566199,5.5,America,27,6.53800002822876,1.1482676871948239,1.2881625097503662,0.7760232269210816,0.5388793668022156,0.12429738784885401,0.1348247847943306
Paraguay,6506464,406750,16.0,0.0,-0.08,25.63,4700.0,94.0,49.2,7.6,0.23,92.17,29.1,4.49,0.22399999999999998,0.207,0.569,73.1125,26.017671,6.5,America,66,5.666600006103517,0.8552234634552001,1.38403297593689,0.6430361386642456,0.5059695583515168,0.14530613153076186,0.16808518268775938
Peru,28302603,1285220,22.0,0.19,-1.05,31.94,5100.0,90.9,79.5,2.89,0.4,96.71,20.48,6.23,0.08,0.27,0.65,73.66250000000002,36.185607,6.7,America,61,5.7284000305175775,0.96508705443573,1.1057820769577023,0.7036552226753234,0.4449965757808686,0.08292594298076619,0.0806278173081875
Philippines,89468677,300000,298.2,12.1,-1.5,23.51,4600.0,92.6,38.4,18.95,16.77,64.28,24.89,5.41,0.14400000000000002,0.326,0.53,67.57499999999999,33.244299,6.0,Asia,77,5.387399965667724,0.7914378430824279,1.1545695149765018,0.5379018109321594,0.5920409348945617,0.1341746846408844,0.15559637860536574
Poland,38536869,312685,123.3,0.16,-0.49,8.51,11100.0,99.8,306.3,45.91,1.12,52.97,9.85,9.89,0.05,0.311,0.64,75.65,58.98241800000001,4.8,Europe,49,5.980800009918213,1.2090375725555418,1.3316083940658558,0.7668170695991516,0.5064924223175049,0.0961171933164596,0.09706556123876572
Portugal,10605870,92391,114.8,1.94,3.57,5.05,18000.0,93.3,399.2,21.75,7.81,70.44,10.72,10.5,0.053,0.27399999999999997,0.6729999999999999,79.99375,62.397608999999996,9.7,Europe,81,5.304600034332276,1.23203105897522,1.2620126036682122,0.8695327083244324,0.5060850599212646,0.044618542502403255,0.06239389033734799
Qatar,885359,11437,77.4,4.92,16.29,18.61,21500.0,82.5,232.0,1.64,0.27,98.09,15.56,4.72,0.002,0.8009999999999999,0.19699999999999998,77.03125,67.255269,0.6,Africa,32,6.4218,1.7436911372070318,1.1697073759536738,0.7687316175575256,0.6040641966705322,0.3618087740077972,0.28538185112190245
Romania,22303552,237500,93.9,0.09,-0.13,26.43,7000.0,98.4,196.9,40.82,2.25,56.93,10.7,11.77,0.10099999999999999,0.35,0.5489999999999999,74.05000000000003,43.612146,5.3,Europe,63,5.698399961853028,1.14176678226471,1.043000258094788,0.7362156624641418,0.4329607484912872,0.06355998354530341,0.055351580139786014
Russia,142893540,17075200,8.4,0.22,1.02,15.39,8900.0,99.6,280.6,7.33,0.11,92.56,9.95,14.65,0.054000000000000006,0.371,0.575,67.76249999999999,27.148757,5.5,Europe,57,5.798599964141847,1.197139619430542,1.337812477737426,0.6263038667526246,0.3600786223144533,0.05303476448130608,0.02366257620573044
Rwanda,8648248,26338,328.4,0.0,0.0,91.23,1300.0,70.4,2.7,40.54,12.16,47.3,40.37,16.09,0.401,0.22899999999999998,0.37,59.3125,51.683419,2.7,Africa,154,3.438599991226196,0.322057178647995,0.7884534046287536,0.4175429614620208,0.5816107705993653,0.3453752058734894,0.3544040027713776
Saudi Arabia,27019731,1960582,13.8,0.13,-2.71,13.24,11800.0,78.8,140.6,1.67,0.09,98.24,29.34,2.58,0.033,0.613,0.354,73.46875,47.886654,5.6,Africa,34,6.37599997253418,1.4395127110366819,1.1813795197906498,0.6662136659469604,0.4174541144886016,0.1901872027769088,0.16481245095825198
Senegal,11987121,196190,61.1,0.27,0.2,55.51,1600.0,40.2,22.2,12.78,0.21,87.01,32.78,9.42,0.172,0.209,0.619,62.56875,40.170528999999995,48.0,Africa,120,4.393999969482421,0.43328580448532106,1.036208382148742,0.450666570514679,0.35084045334434505,0.1396817786340714,0.13378408959341045
Serbia,9396411,88361,106.3,0.0,-1.33,12.89,2200.0,93.0,285.8,33.35,3.2,63.45,0.0,0.0,0.166,0.255,0.579,73.95625,39.112795,16.0,Europe,79,5.339199996185301,1.0006435158538822,1.166623959480286,0.7167889342613221,0.22739310564994825,0.1121371767635346,0.10451675612187386
Sierra Leone,6005250,71740,83.7,0.56,0.0,143.64,500.0,31.4,4.0,6.98,0.89,92.13,45.76,23.03,0.49,0.31,0.21,46.1125,29.260909,9.1,Africa,113,4.5592000221252444,0.317502185743332,0.8443692089958191,0.04951295077949762,0.3395895381927489,0.1905721802845002,0.12458903520822527
Singapore,4492150,693,6482.2,27.85,11.53,2.29,23700.0,92.5,411.4,1.64,0.0,98.36,9.34,4.28,0.0,0.33899999999999997,0.6609999999999999,81.47500000000002,86.46683900000002,2.2,Asia,26,6.542800005340577,1.5921375339813237,1.231078872695922,1.0141864789848327,0.553412113899231,0.3679871962966918,0.402483557006836
Slovakia,5439448,48845,111.4,0.0,0.3,7.41,13300.0,0.0,220.1,30.16,2.62,67.22,10.65,9.45,0.035,0.294,0.672,74.75,47.771617000000006,8.1,Europe,44,6.1084000099182125,1.2460067115097042,1.3797458484497078,0.7724845822219847,0.3070474929180146,0.0878648961839676,0.07190217032790185
Slovenia,2010347,20273,99.2,0.23,1.12,4.45,19000.0,99.7,406.1,8.6,1.49,89.91,8.98,10.31,0.027999999999999997,0.369,0.603,79.73125,60.070487,6.8,Europe,53,5.887999979400633,1.26053119091034,1.3622997641525258,0.8529416455993651,0.5819531615142822,0.1241738186540604,0.13275779575777055
South Africa,44187637,1219912,36.2,0.23,-0.29,61.81,10700.0,86.4,107.0,12.08,0.79,87.13,18.2,22.0,0.025,0.303,0.6709999999999999,57.49999999999999,43.380277,27.6,Africa,108,4.675199999237059,0.979869741134644,1.2581997264785758,0.28981401407527924,0.428229347114563,0.1090704759817124,0.0879598994808197
Spain,40397842,504782,80.0,0.98,0.99,4.42,22000.0,97.9,453.5,26.07,9.87,64.06,10.06,9.72,0.04,0.295,0.665,82.06875,60.0296,17.1,Europe,35,6.351399975585937,1.298807572868348,1.3994661804656985,0.9501081199798584,0.4109482460899354,0.1220967143249512,0.1165668194260597
Sri Lanka,20222240,65610,308.2,2.04,-1.31,14.35,3700.0,92.3,61.5,13.86,15.7,70.44,15.51,6.52,0.17800000000000002,0.276,0.545,73.4,36.695176,4.0,Asia,122,4.392600011444092,0.937054028877258,1.141171277404786,0.6912521664390564,0.5323286509857178,0.2426587123260498,0.20974279323768613
Sudan,41236378,2505810,16.5,0.03,-0.02,62.5,1900.0,61.1,16.3,6.83,0.18,92.99,34.53,8.97,0.387,0.203,0.41,61.825,14.063758000000002,19.6,Africa,133,4.241749984741209,0.60406917304039,1.0718321424293524,0.3173227059531213,0.0329514638198167,0.1408268626606465,0.1358093799984455
Suriname,439117,163270,2.7,0.24,-8.81,23.57,4000.0,93.0,184.7,0.37,0.06,99.57,18.02,7.27,0.13,0.22,0.65,70.08125,38.698444444444455,9.1,America,39,6.269,1.0461,0.8753299999999999,0.558765,0.5594549999999999,0.131625,0.16828
Swaziland,1136334,17363,65.5,0.0,0.0,69.27,4900.0,81.6,30.8,10.35,0.7,88.95,27.41,29.74,0.11900000000000001,0.515,0.366,51.325,36.97396285714286,28.0,Africa,114,4.5395,0.76153,1.11092,0.03783,0.30979,0.052300000000000006,0.15879500000000002
Sweden,9016596,449964,20.0,0.72,1.67,2.77,26800.0,99.0,715.0,6.54,0.01,93.45,10.27,10.31,0.011000000000000001,0.282,0.7070000000000001,82.51875,87.998488,6.6,Europe,8,7.319199983978272,1.4039814538040158,1.3685744338912962,0.8989910316619873,0.6175808197937013,0.356901850435257,0.37711174572181705
Switzerland,7523934,41290,182.2,0.0,4.05,4.39,32700.0,99.0,680.9,10.42,0.61,88.97,9.71,8.49,0.015,0.34,0.645,82.33125,85.901674,3.0,Europe,4,7.511399991607666,1.472163910644532,1.417332349014282,0.9283182578964232,0.6206421153335573,0.3282718556518554,0.32892345707130444
Tajikistan,7320815,143100,51.2,0.0,-2.86,110.76,1000.0,99.4,33.5,6.61,0.92,92.47,32.65,8.25,0.23399999999999999,0.28600000000000003,0.48,66.65625,23.271689,2.4,Europe,98,5.097799977874756,0.4741067270889282,1.02942265499115,0.5900430249176025,0.4117613413791657,0.19036152871799464,0.16281942924880982
Tanzania,37445392,945087,39.6,0.15,-2.06,98.54,600.0,78.2,4.0,4.52,1.08,94.4,37.71,16.39,0.4320000000000001,0.172,0.396,56.00625000000001,32.650526,10.3,Africa,153,3.4659999954223637,0.43977717523574816,0.9393799606628421,0.3967318568992614,0.3868795555362702,0.2017432723445892,0.19370502135562895
Thailand,64631595,514000,125.7,0.63,0.0,20.48,7400.0,92.6,108.9,29.36,6.46,64.18,13.87,7.04,0.099,0.441,0.46,73.08125,36.081004,0.7,Asia,38,6.2865999572753894,1.0500137543106078,1.3123204911346438,0.7139778058815002,0.5652741463508606,0.2710646220588684,0.25037454704833034
Trinidad and Tobago,1065842,5128,207.9,7.06,-10.83,24.31,9500.0,98.6,303.5,14.62,9.16,76.22,12.9,10.57,0.006999999999999999,0.57,0.423,71.06875,37.870273,4.1,America,40,6.168000073750813,1.299635300254823,1.1831528398132332,0.5536310972086589,0.5206669143422443,0.11636882052739465,0.21558493870278206
Tunisia,10175014,163610,62.2,0.7,-0.57,24.77,6900.0,74.2,123.6,17.86,13.74,68.4,15.52,5.13,0.132,0.318,0.55,74.35625000000002,40.959299,13.0,Africa,104,4.728399965667723,0.937327161239624,0.7620582919006349,0.6903824098014831,0.24517813791465765,0.0587946714398861,0.061678629764556875
Turkey,70413958,780580,90.2,0.92,0.0,41.04,6700.0,86.5,269.5,30.93,3.31,65.76,16.62,5.97,0.11699999999999999,0.298,0.585,73.9125,43.30686100000001,11.2,Africa,76,5.4154,1.1510348748016361,1.18024863533783,0.7021011215019225,0.25735611992645263,0.10332660838413237,0.09685431597948073
Turkmenistan,5042920,488100,10.3,0.0,-0.86,73.08,5800.0,98.0,74.6,3.72,0.14,96.14,27.61,8.6,0.209,0.38,0.41100000000000003,64.61874999999999,18.103173,11.0,Europe,72,5.582200005340576,1.047483352592468,1.3657998322677618,0.5181292160835266,0.41589038580513,0.25720699751091003,0.1439460680408478
Uganda,28195754,236040,119.5,0.0,0.0,67.83,1400.0,69.9,3.6,25.88,10.65,63.47,47.35,12.24,0.311,0.222,0.469,55.70625,26.033897000000003,9.4,Africa,139,4.020199970245362,0.31872814306449904,1.066325547561646,0.2864985213251114,0.4285971910572052,0.19477121135520944,0.1479499437675476
Ukraine,46710816,603700,77.4,0.46,-0.39,20.34,5400.0,99.7,259.9,56.21,1.61,42.18,8.82,14.39,0.187,0.452,0.361,69.9375,27.196875,9.5,Europe,130,4.3072000389099125,0.835918389881134,1.28288951361847,0.6368167904243471,0.16875895514631284,0.1383922926235198,0.08008189416325093
United Arab Emirates,2602713,82880,31.4,1.59,1.03,14.51,23200.0,77.9,475.3,0.6,2.25,97.15,18.96,4.4,0.04,0.585,0.375,75.7,68.622888,3.6,Africa,21,6.744199952697754,1.6452266738967902,1.069860046318054,0.7521956472740173,0.5388130540313719,0.3100763893013,0.0
United Kingdom,60609153,244820,247.6,5.08,2.19,5.16,27700.0,99.0,543.5,23.46,0.21,76.33,10.71,10.13,0.005,0.237,0.758,80.79375,78.27508399999998,4.4,Europe,19,6.910000045013428,1.337566787948608,1.367932016029358,0.8817351877861022,0.5037600071640014,0.33948683174324035,0.3292216132507325
United States,298444215,9631420,31.0,0.21,3.41,6.5,37800.0,97.0,898.0,19.13,0.22,80.65,14.14,8.26,0.01,0.204,0.787,78.06250000000001,72.735683,4.4,America,14,6.998800006103518,1.455945856803894,1.3285701127395622,0.8216153255538939,0.5068821046676637,0.2542317561302186,0.2416917576684952
Uruguay,3431932,176220,19.5,0.37,-0.32,11.95,12800.0,98.0,291.4,7.43,0.23,92.34,13.91,9.05,0.09300000000000001,0.311,0.596,76.075,71.34446,7.3,America,31,6.4311999992370605,1.1355579390487682,1.315311573806762,0.7829293647155762,0.574978450870514,0.1783233858146668,0.17920437454414362
Uzbekistan,27307134,447400,61.0,0.0,-1.72,71.1,1700.0,99.3,62.9,10.83,0.83,88.34,26.36,7.84,0.342,0.22899999999999998,0.43,68.03125,19.424563,4.9,Europe,45,6.046200038909912,0.7237582175445556,1.4340998299179084,0.5917245255184174,0.6559877325897217,0.33151472942161564,0.2634316446313858
Venezuela,25730435,912050,28.2,0.31,-0.04,22.2,4800.0,93.4,140.1,2.95,0.92,96.13,18.71,4.92,0.04,0.419,0.541,73.3875,18.289497,26.4,America,73,5.5314,1.052468240196228,1.3232635189971922,0.6837408454055786,0.213709424648285,0.07574992597913742,0.052880224592208855
Vietnam,84402966,329560,256.1,1.05,-0.45,25.95,2500.0,90.3,187.7,19.97,5.95,74.08,16.86,6.22,0.209,0.41,0.381,74.775,31.764383000000002,2.3,Asia,92,5.154599976348876,0.7234155150947571,1.138384266220092,0.7226997978363039,0.577207118221283,0.1557876102628708,0.13179664744853972
Yemen,21456188,527970,40.6,0.36,0.0,61.5,800.0,50.2,37.2,2.78,0.24,96.98,42.89,8.3,0.135,0.47200000000000003,0.39299999999999996,63.8625,17.980347000000005,27.0,Africa,151,3.6257999870300304,0.4893126894721984,0.8654484493942259,0.3654401831378936,0.244174744421959,0.0865170418305398,0.07745748454117775
Zambia,11502010,752614,15.3,0.0,0.0,88.29,800.0,80.6,8.2,7.08,0.03,92.9,41.0,19.93,0.22,0.29,0.489,53.90624999999999,35.695245,15.0,Africa,111,4.584399987792968,0.5717613558578492,0.9323814597549441,0.30276117896461474,0.4620986984996797,0.1914100289764404,0.12435671003007888
Zimbabwe,12236805,390580,31.3,0.0,0.0,67.69,1900.0,90.7,26.8,8.32,0.34,91.34,28.01,21.84,0.179,0.243,0.579,50.48749999999999,21.929767000000002,95.0,Africa,140,4.0066000000000015,0.3440513069934844,1.0077271816329958,0.2744027507781982,0.3232568414020538,0.1277506987543106,0.1316550762820244
