Country,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Birthrate,Deathrate,Agriculture,Industry,Service,Life expectancy,CPI Score,unemployment_percentage,Region,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Estonia,1324333,45226,29.3,8.39,-3.16,7.87,12300.0,99.8,333.8,16.04,0.45,83.51,10.04,13.25,0.04,0.294,0.6659999999999999,74.94375,68.75361099999999,8.4,Europe,68,5.637800012207032,1.2378518680343622,1.3632422199325558,0.7521516632728577,0.4782242860774994,0.12498416224098205,0.13785578444576266
Ethiopia,74777981,1127127,66.3,0.0,0.0,95.32,700.0,42.7,8.2,10.71,0.75,88.54,37.98,14.86,0.475,0.099,0.426,59.11250000000001,32.590912,17.5,Africa,118,4.4232000076293945,0.29335876909446723,0.766209840751648,0.4125479415092469,0.40127454848861704,0.2127661480293274,0.18998514277362816
Finland,5231372,338145,15.5,0.37,0.95,3.57,27400.0,100.0,405.3,7.19,0.03,92.78,10.45,9.86,0.027999999999999997,0.295,0.6759999999999999,80.7125,88.903927,8.7,Europe,3,7.537799972534182,1.3569603850326541,1.4344293450164798,0.8738355339088442,0.6215361713371277,0.28484855451774604,0.33140830858802806
France,60876136,547030,111.3,0.63,0.66,4.26,27600.0,99.0,586.4,33.53,2.07,64.4,11.99,9.14,0.022000000000000002,0.214,0.764,82.21875,69.905064,9.5,Europe,29,6.515199982452392,1.3441166923828118,1.3182473703308102,0.9162411703567503,0.4883904231033326,0.14466046136188498,0.15528448565864558
Gabon,1424906,267667,5.3,0.33,0.0,53.64,5500.0,63.2,27.4,1.26,0.66,98.08,36.16,12.25,0.061,0.5920000000000001,0.348,62.24375000000001,32.683002,28.0,Africa,119,4.407800030517578,1.1019920478820802,1.02631604346466,0.4229397176971436,0.3126897154083252,0.06456707566738128,0.06274135744047163
Georgia,4661473,69700,66.9,0.44,-4.7,18.59,2500.0,99.0,146.6,11.44,3.86,84.7,10.41,9.23,0.172,0.275,0.5529999999999999,73.50625,51.132969,11.5,Europe,129,4.3387999549865714,0.8538865328445434,0.4813449867935179,0.6828313961715697,0.3521580071220398,0.16742376308751108,0.1507993270549774
Germany,82422299,357021,230.9,0.67,2.18,4.16,27600.0,99.0,667.9,33.85,0.59,65.56,8.25,10.62,0.009000000000000001,0.29600000000000004,0.695,81.175,79.84614400000002,3.8,Europe,17,6.929000042724611,1.395342676742554,1.3595260702819818,0.8707361463508606,0.5585882768974304,0.2748418340091707,0.2816783876247406
Ghana,22409572,239460,93.6,0.23,-0.64,51.43,2200.0,74.8,14.4,16.26,9.67,74.07,30.52,9.72,0.366,0.24600000000000002,0.387,60.8625,43.05076,11.9,Africa,115,4.536399977111817,0.6093749648857116,0.7621469473495484,0.3633535453567504,0.42723525870323176,0.1580147887516022,0.10744727397441864
Greece,10688058,131940,81.0,10.37,2.35,5.53,20000.0,97.5,589.7,21.1,8.78,70.12,9.68,10.24,0.054000000000000006,0.213,0.733,81.21875,41.888967,22.3,Europe,93,5.1524000473022475,1.20548149622345,1.056294914543152,0.8741237806167602,0.08578825018835069,0.011048,0.024257955378294
Guatemala,12293545,108890,112.9,0.37,-1.67,35.93,4100.0,70.6,92.1,12.54,5.03,82.43,29.88,5.2,0.22699999999999998,0.188,0.585,71.73125,29.027781,2.4,America,36,6.343799999237059,0.8066143891944886,1.141467038726806,0.6157759979515076,0.5502861235847474,0.163843678565979,0.1578386557164192
